"Year","Area","Degree of urbanisation, %"
"2023","Malax",72.1
"2023","Mariehamn",99.3
"2023","Marttila",45.8
"2023","Masku",82.3
"2023","Merijärvi",37.0
"2023","Merikarvia",57.1
"2023","Miehikkälä",30.7
"2023","Mikkeli",81.5
"2023","Muhos",80.1
"2023","Multia",50.0
"2023","Muonio",51.9
"2023","Korsholm",81.2
"2023","Muurame",89.5
"2023","Mynämäki",66.5
"2023","Myrskylä",47.0
"2023","Mäntsälä",74.7
"2023","Mänttä-Vilppula",83.2
"2023","Mäntyharju",63.1
"2023","Naantali",86.5
"2023","Nakkila",74.6
"2023","Nivala",66.1
"2023","Nokia",91.9
"2023","Nousiainen",68.9
"2023","Nurmes",60.9
"2023","Nurmijärvi",89.4
"2023","Närpes",60.1
"2023","Orimattila",68.1
"2023","Oripää",52.5
"2023","Orivesi",72.3
"2023","Oulainen",75.0
"2023","Oulu",96.9
"2023","Outokumpu",71.6
"2023","Padasjoki",49.2
"2023","Paimio",80.6
"2023","Paltamo",59.2
"2023","Pargas",67.9
"2023","Parikkala",45.6
"2023","Parkano",68.7
"2023","Pedersöre",73.7
"2023","Pelkosenniemi",36.0
"2023","Pello",54.0
"2023","Perho",31.0
"2023","Pertunmaa",41.4
"2023","Petäjävesi",56.6
"2023","Pieksämäki",75.2
"2023","Pielavesi",43.0
"2023","Jakobstad",98.7
"2023","Pihtipudas",48.3
"2023","Pirkkala",97.9
"2023","Polvijärvi",29.3
"2023","Pomarkku",62.8
"2023","Pori",94.2
"2023","Pornainen",66.2
"2023","Porvoo",85.7
"2023","Posio",41.6
"2023","Pudasjärvi",50.9
"2023","Pukkila",39.9
"2023","Punkalaidun",41.2
"2023","Puolanka",56.9
"2023","Puumala",50.3
"2023","Pyhtää",75.0
"2023","Pyhäjoki",69.8
"2023","Pyhäjärvi",53.8
"2023","Pyhäntä",57.4
"2023","Pyhäranta",42.1
"2023","Pälkäne",56.7
"2023","Pöytyä",53.7
"2023","Raahe",87.1
"2023","Raseborg",77.9
"2023","Raisio",99.4
"2023","Rantasalmi",39.6
"2023","Ranua",48.7
"2023","Rauma",93.1
"2023","Rautalampi",48.6
"2023","Rautavaara",44.2
"2023","Rautjärvi",50.0
"2023","Reisjärvi",44.9
"2023","Riihimäki",97.3
"2023","Ristijärvi",41.9
"2023","Rovaniemi",90.7
"2023","Ruokolahti",60.8
"2023","Ruovesi",49.8
"2023","Rusko",81.0
"2023","Rääkkylä",25.3
"2023","Saarijärvi",57.3
"2023","Salla",48.2
"2023","Salo",75.9
"2023","Saltvik",50.4
"2023","Sastamala",67.5
"2023","Sauvo",44.7
"2023","Savitaipale",53.1
"2023","Savonlinna",77.7
"2023","Savukoski",39.3
"2023","Seinäjoki",92.0
"2023","Sievi",54.2
"2023","Siikainen",29.8
"2023","Siikajoki",46.9
"2023","Siikalatva",47.2
"2023","Siilinjärvi",81.1
"2023","Simo",54.1
"2023","Sipoo",85.3
"2023","Siuntio",51.6
"2023","Sodankylä",61.2
"2023","Soini",49.7
"2023","Somero",58.6
"2023","Sonkajärvi",44.0
"2023","Sotkamo",60.8
"2023","Sottunga",0.0
"2023","Sulkava",42.0
"2023","Sund",0.0
"2023","Suomussalmi",63.2
"2023","Suonenjoki",71.8
"2023","Sysmä",52.8
"2023","Säkylä",73.4
"2023","Taipalsaari",59.1
"2023","Taivalkoski",47.0
"2023","Taivassalo",38.9
"2023","Tammela",52.9
"2023","Tampere",98.6
"2023","Tervo",36.0
"2023","Tervola",35.4
"2023","Teuva",66.5
"2023","Tohmajärvi",35.4
"2023","Toholampi",52.5
"2023","Toivakka",43.2
"2023","Tornio",87.6
"2023","Turku",99.1
"2023","Tuusniemi",39.3
"2023","Tuusula",95.4
"2023","Tyrnävä",70.9
"2023","Ulvila",85.5
"2023","Urjala",49.8
"2023","Utajärvi",50.3
"2023","Utsjoki",28.9
"2023","Uurainen",46.6
"2023","Nykarleby",64.2
"2023","Uusikaupunki",76.8
"2023","Vaala",43.0
"2023","Vaasa",98.4
"2023","Valkeakoski",88.5
"2023","Vantaa",99.8
"2023","Varkaus",91.4
"2023","Vehmaa",47.1
"2023","Vesanto",40.5
"2023","Vesilahti",57.1
"2023","Veteli",56.1
"2023","Vieremä",39.3
"2023","Vihti",75.5
"2023","Viitasaari",57.8
"2023","Vimpeli",68.8
"2023","Virolahti",46.9
"2023","Virrat",52.7
"2023","Vårdö",0.0
"2023","Vörå",51.1
"2023","Ylitornio",48.3
"2023","Ylivieska",86.9
"2023","Ylöjärvi",89.4
"2023","Ypäjä",41.7
"2023","Ähtäri",58.4
"2023","Äänekoski",76.7
"2023","MA1 MAINLAND FINLAND",87.3
"2023","SA1 Helsinki-Uusimaa",96.0
"2023","SA2 Southern Finland",86.3
"2023","SA3 Western Finland",84.5
"2023","SA4 Northern and Eastern Finland",79.2
"2023","MK01 Uusimaa",96.0
"2023","MK02 Southwest Finland",86.5
"2023","MK04 Satakunta",84.1
