'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Saapumispaiva';'Muokkauspaiva';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0155';'Veijo';'Niemi';'kansanedustaja, rikosylikonstaapeli';'Pirkanmaan vaalipiiri';'PS';'12.4.2023';'';'';'22562,89';'12884,16';'500,00';'2616,40';'';'1369,96';'550,00';'1100,00';'';'679,18';'';'2863,19';'22562,89';'';'7562,89';'12000,00';'';'';'';'';'';'';'';'';'';'';'';'3000,00';'';'JHL ry tunnus 0116647-5 , kirjoitin tähän tuon 3000 e tuen kun sarakkeisiin ei kelvannut kirjoittaa';'';''
'0157';'Erja';'Pelkonen';'psykoterapeutti, sairaanhoitaja';'Pirkanmaan vaalipiiri';'PS';'4.6.2023';'';'';'13865,24';'6077,07';'';'';'';'';'4787,07';'2889,22';'';'111,88';'';'';'13865,24';'11005,24';'';'1000,00';'X';'';'';'';'';'';'';'';'1860,00';'';'Ylöjärven Perussuomalaiset yhdistyksen eduskuntavaaliehdokkaista tekemiä lehtimainoksia, ';'';'';'';'';''
'0158';'Sakari';'Puisto';'kansanedustaja, filosofian tohtori';'Pirkanmaan vaalipiiri';'PS';'12.5.2023';'';'Sakari Puiston tukiyhdistys';'5575,42';'220,72';'';'';'3020,61';'';'';'2287,79';'';'';'';'46,3';'5575,42';'3016,42';'';'1809';'X';'';'';'X';'';'';'X';'';'';'X';'';'750';'X';'';'';''
'0164';'Sami';'Savio';'kansanedustaja, diplomi-insinööri';'Pirkanmaan vaalipiiri';'PS';'17.5.2023';'';'Sami Savion tukiyhdistys';'28036,21';'20512,36';'1860';'4092';'939,45';'';'';'';'632,40';'';'';'';'28036,21';'24701,02';'';'875,19';'X';'';'';'X';'';'';'X';'';'1860';'';'';'600';'X';'';'';''
'0165';'Joakim';'Vigelius';'yhteiskuntatieteiden kandidaatti';'Pirkanmaan vaalipiiri';'PS';'4.6.2023';'';'Joakim Vigeliuksen tukiyhdistys';'11857,50';'1483,78';'';'';'1382,22';'';'6973,62';'1966,86';'';'18,52';'';'32,50';'11857,50';'4447,50';'';'6910,00';'X';'';'500,00';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0204';'Sari';'Tanus';'kansanedustaja, erikoislääkäri';'Pirkanmaan vaalipiiri';'KD';'5.6.2023';'';'';'28256,80';'12776,89';'2080,00';'8716,88';'';'';'3180,00';'1100,03';'403,00';'';'';'';'28256,80';'25406,80';'';'350,00';'X';'';'';'X';'';'300,00';'X';'';'1200,00';'X';'';'1000,00';'X';'';'';'Stiftelsen för det tvåspråkiga Finland'
'0205';'Kauko';'Turunen';'johtaja, yrittäjä';'Pirkanmaan vaalipiiri';'KD';'6.6.2023';'';'';'68 335,80';'24 300';'1860';'18 228';'11 325';'';'';'5422,80';'';'7200';'';'';'68 335,80';'66 345,80';'';'';'X';'';'1990';'X';'';'';'';'';'';'X';'';'';'';'';'';'HeiSummista puuttuu vielä, kun kaikkia laskuja ei ole tullut kautta kirjattu.'
'0027';'Jenni';'Aikio';'toiminnanjohtaja';'Kaakkois-Suomen vaalipiiri';'VIHR';'5.6.2023';'';'';'10450,6';'2398,03';'';'';'2836,59';'';'2918,22';'952,3';'989,7';'';'';'355,76';'10450,6';'5650,83';'';'4799,77';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0029';'Hanna';'Holopainen';'kansanedustaja, diplomi-insinööri';'Kaakkois-Suomen vaalipiiri';'VIHR';'5.6.2023';'';'';'28329,21';'16979,28';'';'';'150,00';'';'5010,48';'1961,64';'866,55';'1190,02';'';'2171,24';'28329,21';'22369,12';'';'4577,79';'X';'';'782,30';'X';'Tämä on seminaaritilaisuuden lipputuloja. ';'';'X';'';'';'X';'';'600';'X';'Tekniikan Akateemiset lahjoitti 600 euroa.';'';''
'0057';'Juho';'Eerola';'kansanedustaja, eduskunnan toinen varapuhemies';'Kaakkois-Suomen vaalipiiri';'PS';'24.5.2023';'';'Juho Eerolan tukiyhdistys';'9683,14';'7051,24';'1661,60';'0';'0';'0';'478,80';'486,00';'0';'0';'0';'5,50';'9688,42';'9561,00';'';'127,42';'X';'';'';'X';'';'';'X';'';'';'';'Kotkan Perussuomalaiset oli tietääkseni maksanut joitakin lehtimainoksia, joissa oli esiintynyt vaalikuvani ja numero, Kuvassa oli esiintynyt myös toinen ehdokas, En tiedä summia, enkä mahdollista osuuttani niissä, Lisätietoja antaa yhdistyksen puheenjohtaja Ari-Pekka Klami,';'';'';'';'';'Minulle, tai tukiyhdistyksellemme ei ole tullut muita tukia kuin yllämainitut. Lisäksi tiedän, että Kotkan Perussuomalaiset oli ilmeisesti hankkinut joitain mainoksia, joissa olin esiintynyt toisen ehdokkaan kanssa. Rahat eivät kiertäneet minun tai tukiyhdistykseni kautta. Lisätietoja antaa yhdistyksen pj. Ari Pekka Klami: 0503563075'
'0058';'Timo';'Härkönen';'vanhempi konstaapeli';'Kaakkois-Suomen vaalipiiri';'PS';'17.4.2023';'';'';'190';'';'';'';'';'';'';'';'130';'';'';'60';'190';'190';'0';'0';'';'';'0';'';'';'0';'';'';'0';'';'';'0';'';'';'0';''
'0063';'Sheikki';'Laakso';'kansanedustaja';'Kaakkois-Suomen vaalipiiri';'PS';'31.5.2023';'';'';'17006,36';'3658';'713';'0';'612,44';'0';'9033,12';'2251,52';'0';'738,28';'0';'0';'17006,36';'17006,36';'0';'0';'';'';'0';'';'';'0';'';'';'0';'';'Puolueelta on tullut tukea yhteisten lehti ja katumainosten muodossa tai tule tapaamaan kansanedustajaa ilmoituksien kautta,';'0';'';'';'0';''
'0065';'Jani';'Mäkelä';'kansanedustaja, järjestelmäasiantuntija';'Kaakkois-Suomen vaalipiiri';'PS';'5.5.2023';'';'Jani Mäkelän tukiyhdistys';'30125,83';'7970,7';'3264,82';'';'1401,2';'';'7482,16';'2732,34';'';'790,21';'';'6484,40';'30125,83';'28925,83';'';'700';'X';'';'500';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'Olen yllä eritellyn henkilökohtaisen kampanjani ohella osallistunut perussuomalaiset rp:n, perussuomalaisten Kymen piiri ry:n ja Lappeenrannan seudun perussuomalaiset ry:n järjestämiin tapahtumiin ja esiintynyt asianomaisten tahojen järjestämässä yhteismainonnassa.'
'0070';'Jaana';'Strandman';'erityisopettaja, kasvatustieteen maisteri';'Kaakkois-Suomen vaalipiiri';'PS';'28.5.2023';'';'';'11595,54';'4901,47';'558,00';'';'';'762,48';'2167,26';'2151,35';'';'633,96';'';'421,02';'12185,54';'3061,25';'';'1944,57';'X';'';'590';'X';'';'6019,72';'';'';'570,00';'X';'';'';'';'';'';''
