'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0064';'Pekka Tapani                  ';'Ravi                         ';'kansanedustaja                                              ';'Pohjois-Karjalan vaalipiiri     ';'KOK ';'';'61047,13';'23148,03';'557,19';'6124,19';'885,60';'608,85';'';'8457,39';'6088,50';'7442,06';'';'7735,32';'72066,00';'800,00';'';'7889,00';'X';'';'63377,00';' ';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0123';'Ismo Olavi                    ';'Soukola                      ';'vanhempi konstaapeli                                        ';'Hämeen vaalipiiri               ';'PS  ';'';'2868,14';'858,05';'';'';'150,40';'';'';'1738,69';'';'121,00';'';'';'2868,14';'1318,14';'';'550';'X';'';'1000';'X';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0044';'Mika Yrjö Juhani              ';'Penttilä                     ';'vanhempi konstaapeli                                        ';'Hämeen vaalipiiri               ';'KESK';'';'20830';'7006';'';'';'';'790';'';'4333';'';'270';'7063';'1368';'20830';'1740';'';'3950';'X';'';'7380';'X';'';'';' ';'';'700';' ';'';'7060';'X';'';'';''
'0065';'Antti Juho                    ';'Holopainen                   ';'lääkäri                                                     ';'Hämeen vaalipiiri               ';'VAS ';'Antti Holopaisen tukiryhmä';'33084,35';'19645,22';'';'';'500,00';'';'595,00';'1897,61';'2575,00';'3354,11';'';'4517,41';'33084,35';'27939,35';'';'3145,00';'X';'';'1000,00';'X';'';'';'X';'';'1000,00';'X';'';'';'X';'';'';''
'0113';'James                         ';'Hirvisaari                   ';'veturinkuljettaja, teologian ylioppilas                     ';'Hämeen vaalipiiri               ';'PS  ';'Asikkalan Perussuomalaiset ry';'12956,65';'6402,46';'0';'0';'2451,40';'0';'500';'1062,51';'0';'514,28';'0';'2026';'12956,65';'7875,65';'0';'0';'X';'';'0';'X';'';'0';'X';'';'5081';'X';'Pienet lahjoitukset ovat menneet viitteellä suoraan puolueyhdistykselle, joka on maksanut vastaavalla summalla mainoskampanjan kuluja, Kts 2,8,';'0';'X';'';'5081';''
'0117';'Anne Maarit                   ';'Louhelainen                  ';'työnohjaaja, ylioppilasmerkonomi                            ';'Hämeen vaalipiiri               ';'PS  ';'Anne Louhelaisen kannatusyhdistys';'31805,91';'15853,56';'';'7404,21';'790';'';'2054,20';'3050,02';'';'1679,73';'';'974,19';'31805,91';'10621,34';'10000';'8384,57';' ';'';'';'X';'';'';'X';'';'300';'X';'';'2500';' ';'';'';''
'0004';'Kalle Johannes                ';'Jokinen                      ';'kansanedustaja, ylikonstaapeli                              ';'Hämeen vaalipiiri               ';'KOK ';'';'47548,91';'9224,45';'';'';'2938,99';'';'1344,40';'19448,76';'595,01';'2116,15';'8983,00';'2898,15';'49548,91';'6119,92';'';'10859,99';'X';'Yksityishenkilöiltä saatu tuki: rahalahjoituksia, grafiikan myyntituloja, kampanjatuotemyyntituloja ja tuotelahjoituksia,';'28769,00';'X';'Yrityksiltä saatu tuki: rahalahjoituksia, grafiikan myyntituloja, ilmoitusmyyntituloja ja tuotelahjoituksia,';'';' ';'';'3500,00';' ';'';'300,00';'X';'Uudenmaan-Hämeen Turkiseläinten Kasvattajat ry, y-tunnus 30,205, tuen määrä 300,00€';'';'Vaalikampanjan rahoituksen ja kulujen välinen erotus 2000,00€ koostuu kampanjaan saaduista tuotelahjoituksista, jotka on jaettu vastikkeetta kampanjatilaisuuksissa.             Yksityishenkilöiden ja yritysten lahjoittamien yksittäisten tuotelahjoitusten arvo alle 1500,00 €.'
'0116';'Rami Juhani                   ';'Lehto                        ';'laboratoriotyöntekijä                                       ';'Hämeen vaalipiiri               ';'PS  ';'Rami Lehto eduskuntaan 2011';'8744,89';'5830,97';'';'';'';'';'';'1724,92';'189';'1000';'';'';'8744,89';'6643,56';'';'40';'X';'';'500';'X';'';'';'X';'';'1311,33';'X';'';'250';'X';'';'790';''
'0088';'Marjo Tuulia                  ';'Loponen                      ';'eduskuntaryhmän pääsihteeri, kauppatieteiden maisteri       ';'Hämeen vaalipiiri               ';'KD  ';'';'38515,99';'14627,90';'';'11296,76';'3007,75';'';'1913';'1808,03';'3299,05';'185,15';'';'2378,35';'38515,99';'35753,84';'';'1762,15';'X';'';'';'X';'';'';'X';'';'1000';'X';'Hämeen KD:n naisjärjestö 200 euroa ja Lahden Kristillisdemokraatit 800 euroa,';'';'X';'';'';''
'0026';'Mika Pekka                    ';'Kari                         ';'toimialapäällikkö, yhteisöpedagogi (AMK)                    ';'Hämeen vaalipiiri               ';'SDP ';'Mika Kari eduskuntaan 2011';'31497,98';'17605,77';'';'';'799,50';'';'5387';'3114,36';'2000';'746';'';'1845,35';'31497,98';'14886,98';'0';'1561';'X';'';'3450';'X';'';'0';'X';'';'8000';' ';'';'3600';'X';'';'';''
