'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0051';'Markus                        ';'Mustajärvi                   ';'kansanedustaja                                              ';'Lapin vaalipiiri                ';'VAS ';'';'32102,03';'14439,95';'0,00';'9913,16';'0,00';'0,00';'0,00';'2575,62';'584,25';'1165,28';'0,00';'3423,77';'32102,03';'779,03';'12000,00';'1233,00';'X';'Erisuuruisia summia yhteensä 18 yksityiseltä henkilöltä,';'500,00';'X';'Tuki yhdeltä yritykseltä,';'0,00';'X';'';'14500,00';' ';'';'3090,00';'X';'Erisuuruisia tukisummia viideltä eri yhdistykseltä,';'0,00';''
'0019';'Katri Briitta Ilona           ';'Kulmuni                      ';'ministerin lehdistöavustaja, YTK                            ';'Lapin vaalipiiri                ';'KESK';'Selkosen Keskitie ry.';'39009,18';'12704,1';'0';'7115,96';'0';'3997,5';'1821,36';'6252,27';'1922,92';'360,00';'3715,5';'1119,57';'39009,18';'7514,78';'5000';'11151,1';'X';'';'10943,3';'X';'';'0';' ';'';'4400';' ';'';'0';' ';'';'0';''
'0038';'Anna-Liisa                    ';'Mariapori                    ';'verokonsultti                                      ';'Lapin vaalipiiri                ';'PS  ';'';'4850';'3981';'';'';'';'';'300';'';'569';'';'';'';'4850';'4050';'';'';'X';'';'500';'X';'';'300';'X';'Perussuomalaiset Naiset ry 300 €';'';'X';'';'';'X';'';'';''
'0050';'Sari Johanna                  ';'Moisanen                     ';'insinööriopiskelija                                         ';'Lapin vaalipiiri                ';'VAS ';'Sari Moisasen tukiryhmä';'36443';'20114';'';'3735';'';'';'3295';'5786';'1442';'1320';'';'751';'36539';'';'';'9895';'X';'';'';' ';'';'';' ';'';'7200';' ';'';'19444';' ';'';'';''
'0073';'Hilkka Helinä                 ';'Halonen                      ';'toimitusjohtaja, sosiaalityöntekijä                         ';'Lapin vaalipiiri                ';'SDP ';'';'7399,33';'2873,98';'';'';'';'547,47';'432,10';'674,20';'641,13';'613,12';'';'1617,33';'7399,33';'1874,83';'4500,00';'50,00';'X';'';'';'X';'';'';'X';'';'100,00';'X';'';'874,50';'X';'';'0';''
'0008';'Sten Christian                ';'Beijar                       ';'Socionom                           ';'Ahvenanmaan maakunnan vaalipiiri';'ÅS  ';'';'5694';'3030';'';'500';'';'';'';'1261';'';'169';'';'734';'5694';'3375';'';'';' ';'';'';' ';'';'';' ';'';'2319';'X';'&quot;Åländsk samling&quot; utgjorde namnet på ett tekniskt valsamarbete som bekostade vissa för de fyra kandidaterna gemensamma valutgifter (broschyrer, möteskostnader, annonser m,m,), Den summa Åländsk samling disponerade (5 559) utgjordes av bidrag från fyra politiska föreningar (på Åland finns inga politiska partier i juridisk mening), av Åländsk center 1710, av Ålands framtid 1283, av Ålands socialdemokrater 1283 samt av Obunden samling 1283, Totalsumman (5 559) fördelades lika mellan de fyre kandidaterna (1 389 per kandidat),';'';' ';'';'';'Under punkt E (sammandrag punkt 2.6) har sammanslagits den del som erhållits från det tekniska valsamarbetet &quot;Åländsk samling&quot; (1389 €) och den del som erhållits från Ålands socialdemokrater (800 €), som alltså inte är ett parti i juridisk mening.'
'0006';'Charlotte Elisabeth Helene    ';'Nauclér                      ';'jur.kand., riksdagsledamot                                  ';'Ahvenanmaan maakunnan vaalipiiri';'ÅS  ';'';'7425';'4221';'365';'';'';'';'45';'403';'';'343';'';'2048';'7425';'2041';'';'';' ';'';'820';' ';'';'';' ';'';'4564';' ';'Under denna rubrik har sammanslagits den del som erhållits från det valtekniska samarbetet Åländsk samling (1 389) och den del som erhållits från Obunden samling (3 175), som alltså inte är ett politiskt parti i juridisk mening,';'';' ';'';'';'&quot;Åländsk samling&quot; utgjorde namnet på ett tekniskt valsamarbete som bekostade vissa för de fyra kandidaterna gemensamma valutgifter (broschyrer, möteskostnader, annonser m.m.). Den summa Åländsk samling disponerade (5 559) utgjordes av bidrag från fyra politiska föreningar (på Åland finns inga politiska partier i juridisk mening), av Åländsk center 1710, av Ålands framtid 1283, av Ålands socialdemokrater 1283 samt av Obunden samling 1283. Totalsumman (5 559) fördelades lika mellan de fyre kandidaterna (1 389 per kandidat).'
'0115';'Kimmo Kalevi                  ';'Tiilikainen                  ';'kansanedustaja, luomuyrittäjä                               ';'Kymen vaalipiiri                ';'KESK';'Keskusta Ruokolahden kunnallisjärjestö';'32255,15';'21989,00';'';'';'1148,10';'467,40';'';'3961,50';'';'2831,44';'';'1857,71';'32255,15';'9610,15';'';'10545';'X';'Tukea antoi 83 yksityishenkilöä, Niklas Herlin on lahjoitanut 1200 euroa ja halunnut, että tuki julkaistaan vaikka se on alle ilmoitusrajan, ';'6210';'X';'Tukea antoi  9 yritystä,';'';' ';'';'1210';'X';'Tukea antoi 6 puolueyhdistystä,';'4680';'X';'Tukea antoi 7 eri järjestöä,                  Palvelualojen ammattiliitto PAM, 700 euroa ja MTK, 500 euroa, ovat halunneet että tuki julkaistaan, vaikka se on alle 1500 euroa, ';'2640';''
'0112';'Markku Veli                   ';'Pakkanen                     ';'kuljetusyrittäjä                                          ';'Kymen vaalipiiri                ';'KESK';'Pakkasen puolella ry';'36350,47';'25434,49';'';'';'';'';'1050';'2317,80';'1949,55';'1782,08';'';'3816,55';'36353,79';'14700,69';'';'12719,10';'X';'Yhteissumma sisältää alle 1500 euron lahjoituksia 27 henkilöltä yhteensä 4485 euroa, tukkitalkoiden tuottoa 40 lahjoittajalta yhteensä 2126,11 euroa, risteilytuottoa 80 osallistujalta yhteensä 3447 euroa sekä kampanjatakkien ja pipojen myyntituottoa noin 100 henkilöltä yhteensä 1015 euroa sekä muita, kuten pienarpajaistuottoja 1520,99 euroa';'3834';'X';'Tukijoita 7 eri yritystä, joista kunkin tuki alittaa ilmoitusrajan,';'';' ';'';'2600';' ';'';'2500';' ';'';'';''
'0084';'Reijo Sylvester               ';'Tossavainen                  ';'yrittäjä, toimittaja                                        ';'Kymen vaalipiiri                ';'PS  ';'';'26937,77';'14168,77';'';'';'';'';'160';'11775,57';'';'638,43';'';'195';'26937,77';'26937,77';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0039';'Sirpa Hannele                 ';'Paatero                      ';'kansanedustaja    ';'Kymen vaalipiiri                ';'SDP ';'Elinvoimainen Kaakkois-Suomi r.y.';'28100';'7973';'1450';'7882';'306';'701';'4980';'2218';'';'870';'';'1720';'28100';'10255';'';'1280';'X';'';'3500';'X';'';'';' ';'';'7125';' ';'';'5940';'X';'';'';''
'0041';'Jukka Ensio                   ';'Kärnä                        ';'kansanedustaja                ';'Kymen vaalipiiri                ';'SDP ';'Jukka Kärnän eduskuntavaalien tukiryhmä';'48583';'17149';'2564';'9834';'365';'6745';'940';'6774';'';'2762';'';'1450';'48583';'20570';'';'1470';'X';'Yksityisiä lahjoittajia 17 kpl,';'2950';'X';'Yrityksiä lahjoittajina 5 kpl,';'';' ';'';'14000';' ';'';'9593';' ';'Yllä mainitut yhdistykset yhteensä 5700 €, Loput 8 yhdistystä yhteensä 3893 €,';'';''
'0042';'Suna Ellen                    ';'Kymäläinen                   ';'varhaiskasvatuksen opettaja                                 ';'Kymen vaalipiiri                ';'SDP ';'Team Suna 2011';'24493,15';'7063,28';'0';'4039,52';'307,50';'2886,83';'3688,70';'3240,27';'1218,46';'775,86';'20';'1252,73';'24493,15';'16896,85';'0';'2099';'X';'';'600';'X';'';'0';'X';'';'3206';'X';'';'1691,30';'X';'';'0';''
'0100';'Anu Johanna                   ';'Urpalainen                   ';'rehtori, KM                                                 ';'Kymen vaalipiiri                ';'KOK ';'';'44878,96';'24705,69';'483,77';'7367,86';'';'701,10';'';'5382,83';'1902,81';'4334,90';'';'';'44878,96';'7315,65';'6967,78';'5500,18';'X';'';'17695,35';' ';'';'';'X';'';'7400';' ';'';'';' ';'';'';''
'0043';'Harri Tapani                  ';'Helminen                     ';'projektityöntekijä (työsuojeluasiat)                        ';'Kymen vaalipiiri                ';'SDP ';'';'23587,10';'15682,64';'';'';'676,50';'';'';'1248,11';'647,44';'5332,41';'';'';'23587,10';'3000,10';'';'1237';'X';'';'3900';'X';'';'';'X';'';'9150';'X';'';'6300';' ';'';'';''
'0073';'Juho Seppo Antero             ';'Eerola                       ';'maahanmuuttotyöntekijä, ravintolayrittäjä                   ';'Kymen vaalipiiri                ';'PS  ';'';'4430,6';'3506,6';'0';'0';'0';'0';'0';'862';'0';'0';'0';'62';'4430,6';'938,6';'';'1512';'X';'';'430';'X';'';'';'X';'';'';'X';'';'1550';'X';'';'';'Tämän lisäksi maksoin omasta pussista muutaman Kotkan perussuomalaiset ry:n laskun sen jälkeen, kun valintani eduskuntaan varmistui. Näitä olivat esimerkiksi muutama ilmoitus lehdessä, sekä vaalivalvojaisten pitopaikan lasku. En tullut eritelleeksi niitä tarkemmin, mutta olivat yhteensä muutaman satasen luokkaa.'
'0072';'Juha Veli                     ';'Turkia                       ';'yrittäjä                                                    ';'Kymen vaalipiiri                ';'KD  ';'';'13258,13';'7368,64';'';'';'984,5';'';'1092,86';'2723,13';'';'361';'';'728';'13258,13';'9489,36';'';'200';'X';'';'1023,49';'X';'';'1071,43';'X';'';'1473,85';'X';'';'';' ';'';'';''
'0040';'Leila Anneli                  ';'Kiljunen                     ';'kansanedustaja, johtava sosiaalityöntekijä                  ';'Kymen vaalipiiri                ';'SDP ';'';'32506';'13773,29';'';'';'';'';'1811,90';'6323,92';'5000';'';'75';'5521,89';'32506';'7540,14';'10875,86';'790';'X';'saatu useita pieniä tukimaksuja yksityishenkilöiltä';'1500';'X';'Turva 500, Tradeka 1000';'';' ';'';'10000';' ';'';'1800';'X';'JHL Kunnalliset 1000; JHL 500; Kemian henkilöstöryhmä 300';'200';''
'0067';'Sari Minna Johanna            ';'Palm                         ';'kansanedustaja, opettaja                                    ';'Kymen vaalipiiri                ';'KD  ';'';'16936,91';'11655,74';'';'';'149,00';'';'';'2413,07';'';'969,00';'';'1750,10';'16936,91';'12136,91';'';'2600,00';'X';'';'';' ';'';'';' ';'';'2200,00';'X';'';'';' ';'';'';''
'0078';'Jari Tapani                   ';'Lindström                    ';'opiskelija                                                  ';'Kymen vaalipiiri                ';'PS  ';' Jari Lindströmin tukiryhmä';'1170,67';'987,67';'';'';'';'';'';'';'';'83,00';'';'100,00';'1170,67';'220,67';'';'950,00';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'Olen ilmoittanut kaiken saamani yksityisen tuen sekä oman rahoitukseni. '
'0091';'Jukka Matti                   ';'Kopra                        ';'toimitusjohtaja, yrittäjä                                   ';'Kymen vaalipiiri                ';'KOK ';'';'62530,52';'29135,44';'0';'6337,50';'369';'0';'1200';'3995,04';'5914,72';'4072,72';'0';'11506,10';'62530,52';'21780,52';'0';'17200';'X';'';'18250';'X';'';'0';'X';'';'5300';' ';'';'0';'X';'';'0';''
'0079';'Jani Kalevi Kristian          ';'Mäkelä                       ';'järjestelmäasiantuntija                                     ';'Kymen vaalipiiri                ';'PS  ';'';'8816,56';'4586,57';'';'';'984';'';'202,95';'1510,27';'';'';'';'1532,77';'8816,56';'8816,56';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0089';'Jyri Jukka                    ';'Häkämies                     ';'puolustusministeri, VTM                                     ';'Kymen vaalipiiri                ';'KOK ';'Kymenlaakson Talousseura ry';'51406';'17501';'900';'';'566';'';'900';'1487';'7269';'19518';'';'3265';'63430';'';'';'4950';'X';'Kaikki seminaarimaksuja paitsi Timo Ojamies (100 €)';'58480';' ';'Seminaarimaksuja yht, 56330 €';'';' ';'';'';' ';'';'';' ';'';'';''
'0116';'Ari Juhani                    ';'Torniainen                   ';'rakennusinsinööri, laskentapäällikkö                        ';'Kymen vaalipiiri                ';'KESK';'';'31770,98';'14372,79';'0';'0';'1230,00';'0';'2041,81';'9071,41';'2017,20';'780,48';'0';'2257,29';'31770,98';'18712,14';'0';'6758,84';' ';'';'2300,00';'X';'';'0';' ';'';'3750,00';' ';'';'250,00';'X';'';'0';''
'0014';'Sauli Sakari                  ';'Ahvenjärvi                   ';'tekniikan tohtori, yliopettaja                              ';'Satakunnan vaalipiiri           ';'KD  ';'';'59620,40';'23162,03';'990';'10558,97';'1200';'0';'4686,57';'3407,20';'0';'5134,38';'0';'10481,25';'59620,40';'3000';'0';'1100';'X';'';'1000';'X';'';'20500';' ';'Suomen Kristillisdemokraatit (KD) rp:n vaalituki 20500,- ei ole suoraan vaalikampanjaan osoitettua tukea, vaan se on maksettu puolueen Satakunnan piirille, joka on käyttänyt varat kampanjan kuluihin,';'33188,40';' ';'Muu puolueyhdistyksiltä saatu tuki koostuu Satakunnan alueella toimivien KD:n paikallisosastojen kustantamista ilmoituksista ja tilaisuuksista, ';'832';'X';'';'0';''
'0058';'Juha Ilmari                   ';'Joutsenlahti                 ';'hallintotieteiden maisteri, rikoskomisario                  ';'Satakunnan vaalipiiri           ';'KOK ';'Oikeudenmukaisuutta Satakuntaan';'21475,63';'6741,74';'2324,70';'147,60';'1483,40';'';'3175,20';'1678,90';'794,58';'360';'370';'4399,51';'21475,63';'15095,19';'';'580,44';'X';'Tukea saatiin useilta yksityishenkilöiltä vaihtelevia summia,';'3800';'X';'Tukea saatiin kolmelta eri yritykseltä, kaikki alle 1500 €/yritys,';'';' ';'';'2000';'X';'Tukea saatiin kahdelta puolueyhdistykseltä,';'';' ';'';'';''
'0089';'Harri Seppo Juhani            ';'Lehtonen                     ';'rehtori, kasvatustieteiden maisteri                         ';'Satakunnan vaalipiiri           ';'SDP ';'';'23031,38';'13731,01';'';'147,60';'100,86';'';'';'3368,20';'1845';'193,76';'';'3644,95';'23188,24';'4289';'';'3219,75';'X';'';'2600';'X';'';'1000';'X';'';'9949,49';' ';'';'2130';'X';'';'';''
'0073';'Ari Kristian                  ';'Jalonen                      ';'paloesimies                                                 ';'Satakunnan vaalipiiri           ';'PS  ';'';'6044,63';'2934,18';'';'';'552,05';'';'';'659,99';'';'';'';'1898,41';'6044,63';'5230,95';'';'638,68';'X';'';'175';'X';'';'';' ';'';'';' ';'';'';' ';'';'619';'Vaalikamppanjani sisältää kiitos kahvitus tilaisuuksia ja niiden ilmoituksia 1980,13euroa.       Kamppanja oli siis vaalipäivää edeltäviltä osin 4064,50 euron suuruinen.       Yritystuki on mainos kyseisen yrityksen omassa lehdessä.'
'0057';'Anne Elisabeth                ';'Holmlund                     ';'sisäasiainministeri, kansanedustaja                         ';'Satakunnan vaalipiiri           ';'KOK ';'';'36161,61';'14452,34';'';'';'2023,35';'';'2705,75';'5803,76';'5510,41';'1238,00';'';'4428,00';'36161,61';'35661,61';'';'';' ';'';'';' ';'';'';' ';'';'500,00';' ';'Tuki saatu mainosmateriaalina';'';' ';'';'';''
'0059';'Sampsa Kalle Henrikki         ';'Kataja                       ';'varatuomari, kansanedustaja                                 ';'Satakunnan vaalipiiri           ';'KOK ';'';'25191,50';'11913,70';'';'';'';'';'';'2767,50';'';'';'';'10510,30';'25191,50';'19167,90';'';'';' ';'';'';' ';'';'';' ';'';'6023,60';' ';'';'';' ';'';'';''
'0086';'Krista Katriina               ';'Kiuru                        ';'kansanedustaja, valtiotieteiden maisteri                    ';'Satakunnan vaalipiiri           ';'SDP ';'Krista Kiurun tukiyhdistys';'30936,25';'10070,43';'';'7799,94';'';'';'3394,55';'5374,56';'1090,40';'1520';'';'1686,37';'30936,25';'17466,25';'';'250';'X';'';'500';'X';'';'';' ';'';'10120';' ';'';'2600';'X';'kuudelta ammattiyhdistykseltä tukea, mm, Pro 500 euroa ';'620';''
'0028';'Jari Heikki                   ';'Myllykoski                   ';'työehtosihteeri                                             ';'Satakunnan vaalipiiri           ';'VAS ';'';'29841,55';'13979,18';'';'3790,56';'1155,20';'';'4524,01';'469,09';'1896,90';'4026,61';'';'';'29841,55';'3026,55';'';'1495';'X';'';'900';'X';'';'';'X';'';'1100';'X';'';'23320';' ';'';'';''
'0074';'Taito Anssi Ilmari            ';'Joutsenlahti                 ';'Eduskunnan 2. varapuhemies, rovasti                                         ';'Satakunnan vaalipiiri           ';'PS  ';'';'50830,11';'34886,49';'';'';'5565,69';'';'123';'5850,69';'';'745,81';'';'3658,43';'50830,11';'35010,11';'';'';' ';'';'3820';'X';'';'';' ';'';'12000';' ';'';'';' ';'';'';''
'0036';'Katja Maarika                 ';'Syvärinen                    ';'työllisyyspalveluiden johtaja                               ';'Satakunnan vaalipiiri           ';'VAS ';'';'14326,33';'9461,83';'';'';'';'';'1715,85';'1562,10';'227,55';'184';'';'1175';'14326,33';'3713,43';'';'5512,90';'X';'';'500';'X';'';'';'X';'';'4200';'X';'';'400';'X';'';'';''
'0007';'Juha Sakari                   ';'Korkeaoja                    ';' agronomi                                    ';'Satakunnan vaalipiiri           ';'KESK';'';'45190,88';'16461,00';'';'';'316,41';'';'4889,00';'18798,26';'';'196,62';'2500,00';'2029,59';'45190,88';'7150,88';'';'1140,00';'X';'';'36900,00';'X';'Kohtaan tuki yrityksiltä sisältyy vaalilehden ( Mahdollisuuksien Maakunta n:o 6) ilmoitusmyyntitulo bruttona 22600,00 € ,mikä ei ole tukea vaan vastikkeellista myyntiä, Lehden kokonaiskulut ilmoitettu kohdassa kuluerittely, Samoin taulujen myyntitulo brutto 7500,00 €, Hankinnan kulut kohdassa kuluerittely,';'';'X';'';'';'X';'';'';'X';'';'';''
'0094';'Kristiina Johanna             ';'Salonen                      ';'sosiaaliohjauksen ja etuuskäsittelyn esimies, hallintotietei';'Satakunnan vaalipiiri           ';'SDP ';'Rauman työväenyhdistys ry/Kristiina Salosen tukiryhmä';'49525,27';'19446,15';'0';'6591,65';'979,28';'246,00';'585,00';'6340,16';'3505,50';'1522,70';'5249,51';'5059,32';'49932,95';'10965,95';'0';'16031,00';'X';'';'10546,00';'X';'';'0';' ';'';'2900,00';'X';'';'9490,00';' ';'';'0';''
'0070';'Laura Talvikki                ';'Huhtasaari                   ';'kasvatustieteen maisteri, erityisopettaja                   ';'Satakunnan vaalipiiri           ';'PS  ';'';'3574';'';'2138';'';'700';'';'';'736';'';'';'';'';'3574';'2764';'';'510';'X';'';'';' ';'';'300';'X';'';'';' ';'';'';' ';'';'';''
'0005';'Timo Juhani                   ';'Kalli                        ';'kansanedustaja, maaseutuyrittäjä                  ';'Satakunnan vaalipiiri           ';'KESK';'Satakunnan parhaaksi ry';'22392';'14000';'';'';'1100';'';'2657';'1341';'';'1100';'1136';'1058';'39536';'';'';'';' ';'';'37836';'X';'';'';' ';'';'';' ';'';'1700';' ';'Vastikkeellinen tuki 700 euroa on 10,2, seminaariin yksi osallistumisoikeus';'';''
'0002';'Tuija                         ';'Brax                         ';'kansanedustaja, oikeusministeri                             ';'Uudenmaan vaalipiiri            ';'VIHR';'';'22506,36';'12867,81';'0,00';'0,00';'172,2';'0,00';'4950,00';'858,95';'0,00';'79,65';'0,00';'3577,75';'22506,36';'20556,36';'0,00';'1230,00';'X';'';'0,00';'X';'';'0,00';'X';'';'220,00';'X';'';'500,00';'X';'';'0,00';'Vihreän liiton ehdokkaiden keskenään sopima lahjoitusten ilmoittamisraja on lakisääteistä rajaa alhaisempoi 1000€. Yksikään saamani lahjoitus ei ylitä tätä summaa. Suurimmat saamani lahjoitukset (3 kpl) ovat 500€ kukin ja ne olen saanut vanhemmiltani sekä Finanssialan keskusliitolta.      Vihreät naiset ry kustansi uudenmaan vihreiden naisten yhteisen esitteen, joka ilmestyi Anna-lehden välissä. Vihreät naiset ry on pyytänyt meitä kutakin ehdokasta ilmoittamaan tuon esitteen ns. laskennallinen kulu, 220€, puolueyhdistykseltä saatuna tukena. Vastaavasti summa on lisätty lehti-ilmoituskuluihin.'
'0315';'Kari Antero                   ';'Uotila                       ';'kansanedustaja                                              ';'Uudenmaan vaalipiiri            ';'VAS ';'Kari Uotilan tukiryhmä';'29820,15';'14177,30';'1112,47';'';'';'';'';'8869,30';'';'1671,48';'';'3989,60';'29820,15';'8721,15';'';'3340,00';'X';'';'';' ';'';'';' ';'';'4259,00';' ';'';'13500,00';' ';'';'';''
'0035';'Jani                          ';'Toivola                      ';'näyttelijä, yrittäjä                                        ';'Uudenmaan vaalipiiri            ';'VIHR';'';'14888,61';'5713,00';'0';'0';'116,50';'0';'2350,00';'1472,99';'0';'4736,12';'0';'500';'14888,61';'9831,33';'0';'4857,28';'X';'';'200';'X';'';'0';'X';'';'0';'X';'';'0';'X';'';'0';''
'0372';'Maarit Kristiina              ';'Feldt-Ranta                  ';'kansanedustaja, riksdagsledamot                             ';'Uudenmaan vaalipiiri            ';'SDP ';'Maarit Feldt-Rannan vaalityöryhmä';'28867,86';'16417,90';'';'';'166,05';'5500,44';'675,27';'1471,60';'2079';'207,60';'1090';'1260';'28867,86';'2712,86';'';'8245';'X';'';'2350';' ';'';'';' ';'';'8260';' ';'';'7300';' ';'';'110';'Luettelo tukijoista löytyy nettisivulta www.maaritfeldtranta.fi.'
'0373';'Maria Edith                   ';'Guzenina-Richardson          ';'kansanedustaja                         ';'Uudenmaan vaalipiiri            ';'SDP ';'';'6684,23';'3707,44';'';'';'';'';'909';'1133,92';'';'111,87';'';'822';'6684,23';'2154,23';'';'2930';'X';'Tuki koostuu useasta pienemmistä summista, tukijat eivät ole halunneet nimeään julkisuuteen,';'1600';'X';'Tradeka 1000 €, Finanssialan keskusliitto 600 €';'';' ';'';'';' ';'';'';' ';'';'';''
'0375';'Lauri Armas                   ';'Ihalainen                    ';'työelämän asiantuntija, ministeri                                      ';'Uudenmaan vaalipiiri            ';'SDP ';'Palkansaajien hyväksi ry';'60847';'23059';'';'13405';'75';'';'2050';'4321';'6500';'301';'7068';'4068';'61437';'5347';'';'3140';' ';'';'8900';' ';'';'';'X';'';'';'X';'';'44050';' ';'';'';''
'0384';'Merja Anneli                  ';'Kuusisto                     ';'erikoissairaanhoitaja, kansanedustaja                       ';'Uudenmaan vaalipiiri            ';'SDP ';'';'37851,34';'15487,50';'0';'0';'0';'10238,58';'3110,79';'3321,00';'4059,00';'416,09';'';'1218,38';'37851,34';'18337,22';'0';'6014,12';'X';'';'0';' ';'';'0';' ';'';'13000';' ';'';'500';' ';'';'0';''
'0399';'Matti Kalervo                 ';'Saarinen                     ';'sosionomi, kansanedustaja                                   ';'Uudenmaan vaalipiiri            ';'SDP ';'Matti Saarisen tukiryhmä';'29884,00';'14150,00';'';'';'';'';'519,00';'1177,00';'2000,00';'2056,00';'6200,00';'3782,00';'29900,00';'7025,00';'';'5024,00';'X';'';'7501,00';' ';'';'';' ';'';'10350,00';' ';'';'';' ';'';'';''
'0077';'Leena                         ';'Harkimo                      ';'kansanedustaja                                              ';'Uudenmaan vaalipiiri            ';'KOK ';'Työtäpelkäämättömät ry.';'25164,73';'12268,66';'';'';'2472,30';'';'1500,00';'3082,27';'4920,00';'';'';'921,50';'25164,73';'20764,73';'';'2900,00';'X';'';'1500,00';' ';'Maksuton mainospaikka';'';' ';'';'';'X';'';'';'X';'';'';''
'0083';'Jyrki Tapani                  ';'Katainen                     ';'kansanedustaja, valtiovarainministeri                       ';'Uudenmaan vaalipiiri            ';'KOK ';'';'34297,73';'19822,41';'0';'0';'3690,00';'0';'0';'2414,49';'4381,88';'3988,95';'0';'0';'34297,73';'0';'0';'0';'X';'';'1250';'X';'';'33047,73';' ';'';'0';'X';'';'0';'X';'';'0';''
'0016';'Johanna                       ';'Karimäki                     ';'diplomi-insinööri, kansanedustaja                           ';'Uudenmaan vaalipiiri            ';'VIHR';'';'29853';'14191';'0';'0';'492';'0';'6642';'7193';'861';'74';'0';'400';'29853';'23083';'0';'5384';' ';'';'200';'X';'';'0';'X';'';'770';'X';'';'416';'X';'';'0';''
'0091';'Sanna                         ';'Lauslahti                    ';'hallintotieteen tohtori, kansanedustaja                     ';'Uudenmaan vaalipiiri            ';'KOK ';'';'50728,51';'2146,76';'';'';'7835,67';'';'30919,09';'4088,4';'1570,35';'71';'';'4097,24';'50728,51';'48338,51';'';'330';'X';'';'1400';'X';'';'';'X';'';'';'X';'';'660';'X';'';'';''
'0017';'Jyrki                         ';'Kasvi                        ';'tekniikan tohtori, kansanedustaja                           ';'Uudenmaan vaalipiiri            ';'VIHR';'';'18024';'8555';'';'';'1126';'';'4660';'1453';'';'';'';'2230';'18024';'13658';'';'3700';'X';'';'250';'X';'';'';'X';'';'';'X';'';'416';'X';'';'';''
'0230';'Erkki Elias Tapani            ';'Havansi                      ';'oikeustieteen professori emeritus, varatuomari              ';'Uudenmaan vaalipiiri            ';'PS  ';'';'8932,73';'5469,76';'';'';'916,00';'';'';'2215,76';'';'';'';'331,21';'8932,73';'8332,73';'';'';' ';'';'';' ';'';'';' ';'';'600,00';'X';'';'';' ';'';'';''
'0310';'Jussi Antero                  ';'Saramo                       ';'puolueen poliittinen sihteeri, tietotekniikan asentaja      ';'Uudenmaan vaalipiiri            ';'VAS ';'';'31136,46';'14793,31';'';'';'1000';'';'';'4575,6';'';'434,5';'';'10333,05';'31136,46';'20188,75';'';'5747,71';'X';'';'';' ';'';'';' ';'';'700';'X';'';'4500';'X';'';'';'&quot;Muut kulut&quot; tarkoittaa pääosin Itellalta ostettua vaalilehden jakelua sekä vaaliasuntovaunua.'
'0381';'Risto Martti Antero           ';'Kuisma                       ';'oikeustieteen kandidaatti                   ';'Uudenmaan vaalipiiri            ';'SDP ';'';'44550';'11612';'500';'6007';'';'504';'2627';'10702';'553';'2933';'';'9112';'44550';'27317';'';'6583';' ';'';'4350';' ';'';'';' ';'';'';' ';'';'6300';' ';'';'';''
